Imagename,Latitude,Longitude,Altitude
IMG_0144,49.228275,-122.666721,7
IMG_0145,49.228305,-122.66669,7
IMG_0146,49.22835,-122.666723,7
IMG_0147,49.22849,-122.666681,7
IMG_0148,49.228422,-122.666527,7
IMG_0149,49.228364,-122.666585,7
IMG_0150,49.22834,-122.666679,7
IMG_0151,49.22829,-122.666688,7
IMG_0152,49.228297,-122.66672,7
IMG_0153,49.228283,-122.666717,7
IMG_0154,49.228321,-122.666659,7
IMG_0155,49.228384,-122.666628,7
IMG_0156,49.228428,-122.666595,7
IMG_0157,49.228482,-122.666633,7
IMG_0158,49.228449,-122.666668,7
IMG_0159,49.228389,-122.666704,7
IMG_0160,49.228347,-122.666727,7
IMG_0161,49.228311,-122.666739,7
IMG_0162,49.228224,-122.666611,7
IMG_0163,49.22828,-122.666636,7
IMG_0164,49.228327,-122.666618,7
IMG_0165,49.22847,-122.666545,7
IMG_0166,49.228455,-122.666544,7
IMG_0167,49.228455,-122.666548,7
IMG_0168,49.228431,-122.666556,7
IMG_0169,49.228384,-122.666572,7
IMG_0170,49.228355,-122.666589,7
IMG_0171,49.228326,-122.666594,7
IMG_0172,49.228302,-122.666655,7
IMG_0173,49.22826,-122.66664,7
IMG_0174,49.22826,-122.666578,7
IMG_0175,49.228287,-122.666586,7
IMG_0176,49.228343,-122.666552,7
IMG_0177,49.228476,-122.666492,7
IMG_0178,49.228507,-122.666519,7
IMG_0179,49.22848,-122.666495,7
IMG_0180,49.228443,-122.666487,7
IMG_0181,49.228383,-122.666511,7
IMG_0182,49.22832,-122.666546,7
IMG_0183,49.228288,-122.666551,7
IMG_0184,49.228233,-122.666592,7
TO BE TAKEN,49.228223,-122.666531,7
TO BE TAKEN,49.228286,-122.666535,7
TO BE TAKEN,49.228279,-122.666533,7
TO BE TAKEN,49.22827,-122.666556,7
TO BE TAKEN,49.228271,-122.666533,7
TO BE TAKEN,49.228277,-122.666511,7
TO BE TAKEN,49.228275,-122.666499,7
TO BE TAKEN,49.228278,-122.666502,7
TO BE TAKEN,49.228305,-122.666494,7
TO BE TAKEN,49.228335,-122.666457,7
TO BE TAKEN,49.22835,-122.666456,7
